,text_description
826,有一个Jing'an的attached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是5000.0。
827,有一个Jing'an的detached lane house，1卧0厅1卫，面积是36平方米，有空调，房租价格是5000.0。
828,有一个Jing'an的public housing，1卧0厅1卫，面积是36平方米，有空调，房租价格是5000.0。
829,有一个Jing'an的detached lane house，1卧0厅1卫，面积是21平方米，有空调，房租价格是5000.0。
830,有一个Jing'an的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是5000.0。
831,有一个Jing'an的detached lane house，1卧0厅1卫，面积是29平方米，有空调，房租价格是5000.0。
832,有一个Jing'an的attached lane house，1卧1厅1卫，面积是25平方米，有空调，房租价格是5000.0。
833,有一个Jing'an的attached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有空调，房租价格是5000.0。
834,有一个Jing'an的public housing，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是5000.0。
835,有一个Jing'an的attached lane house，1卧1厅1卫，面积是30平方米，有空调，有阳台，房租价格是5000.0。
836,有一个Jing'an的attached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是5200.0。
837,有一个Jing'an的detached lane house，1卧0厅1卫，面积是18平方米，有室外空间，有供暖，有空调，房租价格是5200.0。
838,有一个Jing'an的public housing，1卧1厅1卫，面积是40平方米，有空调，房租价格是5300.0。
839,有一个Jing'an的detached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是5500.0。
840,有一个Jing'an的detached lane house，1卧1厅1卫，面积是45平方米，有空调，房租价格是5500.0。
841,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是5500.0。
842,有一个Jing'an的attached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有供暖，房租价格是5500.0。
843,有一个Jing'an的detached lane house，1卧1厅1卫，面积是30平方米，有供暖，有空调，有阳台，有WIFI，有地暖，房租价格是5500.0。
844,有一个Jing'an的attached lane house，1卧1厅1卫，面积是15平方米，有供暖，有空调，有浴缸，房租价格是5500.0。
845,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是5500.0。
846,有一个Jing'an的detached lane house，1卧1厅1卫，面积是48平方米，有空调，房租价格是5500.0。
847,有一个Jing'an的public housing，1卧0厅1卫，面积是34平方米，有空调，房租价格是5500.0。
848,有一个Jing'an的attached lane house，1卧1厅1卫，面积是35平方米，有空调，房租价格是5500.0。
849,有一个Jing'an的public housing，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是5500.0。
850,有一个Jing'an的attached lane house，1卧1厅1卫，面积是35平方米，有室外空间，有空调，房租价格是5500.0。
851,有一个Jing'an的attached lane house，1卧1厅1卫，面积是37平方米，有室外空间，有空调，房租价格是5700.0。
852,有一个Jing'an的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是5700.0。
853,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有阳台，有WIFI，房租价格是5800.0。
854,有一个Jing'an的public housing，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是5800.0。
855,有一个Jing'an的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是5800.0。
856,有一个Jing'an的attached lane house，1卧1厅1卫，面积是33平方米，有空调，有WIFI，房租价格是6000.0。
857,有一个Jing'an的attached lane house，1卧1厅1卫，面积是40平方米，有供暖，有空调，有阳台，房租价格是6000.0。
858,有一个Jing'an的attached lane house，1卧0厅1卫，面积是40平方米，有空调，房租价格是6000.0。
859,有一个Jing'an的public housing，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是6000.0。
860,有一个Jing'an的attached lane house，1卧0厅1卫，面积是30平方米，有空调，房租价格是6000.0。
861,有一个Jing'an的detached lane house，1卧1厅1卫，面积是35平方米，有供暖，有空调，有WIFI，有地暖，房租价格是6000.0。
862,有一个Jing'an的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有空调，房租价格是6000.0。
863,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是6000.0。
864,有一个Jing'an的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是6000.0。
865,有一个Jing'an的detached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是6200.0。
866,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有空调，有阳台，房租价格是6200.0。
867,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是6300.0。
868,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有供暖，有空调，有WIFI，有地暖，房租价格是6500.0。
869,有一个Jing'an的attached lane house，2卧1厅1卫，面积是45平方米，有空调，有WIFI，房租价格是6500.0。
870,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，房租价格是6500.0。
871,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有地暖，房租价格是6500.0。
872,有一个Jing'an的detached lane house，2卧1厅1卫，面积是45平方米，有空调，房租价格是6500.0。
873,有一个Jing'an的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是6500.0。
874,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，房租价格是6500.0。
875,有一个Jing'an的detached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是6500.0。
876,有一个Jing'an的public housing，1卧1厅1卫，面积是35平方米，有空调，房租价格是6500.0。
877,有一个Jing'an的attached lane house，1卧1厅1卫，面积是48平方米，有室外空间，有供暖，有空调，房租价格是6500.0。
878,有一个Jing'an的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有烤箱，房租价格是6600.0。
879,有一个Jing'an的public housing，1卧1厅1卫，面积是35平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是6600.0。
880,有一个Jing'an的attached lane house，1卧1厅1卫，面积是35平方米，有空调，有WIFI，房租价格是6600.0。
881,有一个Jing'an的detached lane house，1卧0厅1卫，面积是1平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是6800.0。
882,有一个Jing'an的public housing，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是6800.0。
883,有一个Jing'an的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，有WIFI，房租价格是6800.0。
884,有一个Jing'an的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是6800.0。
885,有一个Jing'an的detached lane house，1卧1厅1卫，面积是46平方米，有空调，有WIFI，房租价格是6800.0。
886,有一个Jing'an的attached lane house，1卧1厅1卫，面积是47平方米，有空调，有WIFI，房租价格是6800.0。
887,有一个Jing'an的public housing，1卧1厅1卫，面积是37平方米，有室外空间，有供暖，有空调，有阳台，房租价格是6900.0。
888,有一个Jing'an的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有地暖，房租价格是6900.0。
889,有一个Jing'an的detached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有WIFI，房租价格是7000.0。
890,有一个Jing'an的detached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是7000.0。
891,有一个Jing'an的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有阳台，房租价格是7000.0。
892,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是7000.0。
893,有一个Jing'an的attached lane house，1卧1厅1卫，面积是48平方米，有空调，房租价格是7000.0。
894,有一个Jing'an的detached lane house，1卧1厅1卫，面积是50平方米，有供暖，房租价格是7000.0。
895,有一个Jing'an的detached lane house，1卧1厅1卫，面积是55平方米，有室外空间，有空调，房租价格是7000.0。
896,有一个Jing'an的attached lane house，1卧1厅1卫，面积是48平方米，有室外空间，有空调，房租价格是7000.0。
897,有一个Jing'an的detached lane house，1卧1厅1卫，面积是62平方米，有室外空间，有空调，房租价格是7000.0。
898,有一个Jing'an的attached lane house，1卧1厅1卫，面积是48平方米，有室外空间，有空调，房租价格是7000.0。
899,有一个Jing'an的attached lane house，1卧1厅1卫，面积是48平方米，有室外空间，有空调，房租价格是7000.0。
900,有一个Jing'an的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有空调，房租价格是7000.0。
901,有一个Jing'an的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有阳台，房租价格是7000.0。
902,有一个Jing'an的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是7200.0。
903,有一个Jing'an的public housing，1卧1厅1卫，面积是40平方米，有空调，房租价格是7200.0。
904,有一个Jing'an的public housing，1卧2厅1卫，面积是50平方米，有供暖，有空调，有阳台，房租价格是7200.0。
